总分,1、 您是否知晓本问卷仅用于研究，并自愿参与本次调查?,2、您对以下非传统婚恋/家庭模式的接受程度如何?—“周末夫妻”（因工作分居两地，周末相聚）,2、“两头婚”（夫妻独立居住，孩子分别姓）,2、只恋爱不结婚的长期稳定伴侣关系,2、合约婚姻（约定固定期限，到期协商续约）,2、AI伴侣/虚拟恋爱,3、那在亲密关系中，您更倾向于哪种相处模式?,4、您更担心结婚的哪些方面？（至多选3项）,5、如果未来伴侣与您的生育观念有冲突（如你想TA不想、TA想你不想），您更可能:,6、 您的性别是?,7、 您目前的年龄是?,8、 您目前所在年级是?,9、 您的专业类别更接近:,10、 您目前的情感状态是?,11、 您是否为独生子女?,12、 您父母目前的婚姻状况更接近:,13、 您成长过程中长期居住地更接近:,14、 您对大学期间谈恋爱的总体态度是?,15、 您目前是否有恋爱意愿?,16、 如果您选择恋爱，最主要的原因是什么?,17、 如果您目前不太想恋爱，最主要的原因是什么?,18、 您目前的学业、实习或就业压力对您的恋爱意愿影响如何?,19、 在选择恋爱或结婚对象时，您最看重的因素是?,20、 当“感情契合”与“现实条件（如经济、家庭背景、发展规划等）”发生冲突时，您更倾向于:,21、请评价您对以下婚育相关说法的认同程度—整体上，我对婚姻持积极态度,21、整体上，我对生育持积极态度,21、结婚能给人带来保障,21、不结婚也可以拥有完整的人生,21、生育孩子会让生活更有意义,21、生育孩子会给个人的发展带来较大压力,21、生育有助于社会发展,21、在择偶时，感情契合比经济条件更重要,21、婚育应该顺其自然，不必刻意强求或回避,21、人应该先立业、后成家,21、家庭中男性主外、女性主内是比较理想的分工,22、 以下哪项最符合您对“恋爱、结婚、生育”关系的看法?,23、 您未来是否有结婚打算?,24、 您未来是否有生育打算?,25、 您在社交媒体上接触婚恋、婚姻或生育相关内容的频率如何?,26、 您是否关注过以下与婚恋婚育相关的社会讨论?,27、如果你对某一话题思考较多，欢迎你留下自己的看法,28、 网络内容整体上对您的婚恋或婚育观影响程度如何?,29、 以下哪类社会现实最容易影响您对结婚的判断?,30、 以下哪类社会现实最容易影响您对生育的判断?,31、a1. 您认为结婚的较重要前提有哪些?,32、a1. 您理想中的结婚年龄大致是:,33、a1. 在理想的亲密关系或婚姻中，您认为以下哪些方面应尽量平等?,34、a2. 您不想结婚的最主要原因是什么?,35、a2&amp;a3. 哪些条件变化会提高您未来对结婚的意愿?,36、b1. 如果未来考虑生育，您认为什么条件较为重要?,37、b1. 对未来生育，您最主要的顾虑是什么?,38、b1. 您认为生育是否必须以婚姻为前提?,39、b2. 您不想生育的最主要原因是什么?,40、b2. 您是否担心来自父母或社会的催育压力?,41、b2&amp;b3. 哪些条件变化会提高您未来对生育的意愿?,42、a3|b3. 您目前对结婚或生育持犹豫态度，最主要是因为:,43、C. 如果不结婚，您理想中的育儿支持主要来自哪里?,44、C. 您对非传统家庭形式抚育子女的接受程度如何?,45、C. 您最担心的不结婚但生育会面临的现实障碍是?,46、D. 您目前倾向不婚不育，更接近于:,47、D. 您最看重不婚不育可能带来的什么?,48、D. 您如何看待社会上对“不婚不育”的评价?,49、E. 您目前更担心以下哪一方面?,50、E. 如果未来现实条件改善，您更可能:,51、M. 您是否担心结婚需要承担较大的经济责任（如住房、彩礼、养家等）?,52、M. 您是否感到社会对男性在婚恋中“应承担更多经济与责任”的期待较强?,53、F. 您是否担心婚育会对女性的身体健康、心理状态或职业发展造成较大影响?,54、F. 您是否担心婚后家务与育儿责任更多落在女性身上?,55、O. 您是否感到当前社会中的婚恋与婚育期待会对个人造成较大压力?,56、O. 您是否认为当前主流婚恋婚育观对不同个体的生活选择足够包容?,57、如果您对当代大学生的婚育观念或者现在的婚育制度建设还有什么问题或建议，请您写在此处：
61,A. 是，我同意继续作答,不太能接受,不太能接受,不太能接受,不太能接受,不太能接受,B. 保持亲密，同时保留独立空间,A. 经济成本（婚礼、彩礼、购房等）┋B. 离婚高代价（离婚冷静期、分割财产、争夺抚养权等）┋C. 感情变淡或关系不稳定,B. 愿意进一步商量，但不轻易改变,A. 男,B. 18 岁,A. 大一,D. 工学类,B. 单身，但有恋爱经历,B. 否,A. 婚姻稳定，关系较好,A. 一线城市,B. 比较支持,D. 较弱,(跳过),H. 其他:〖学业压力大，未来不确定性大不敢轻易谈，没遇到合适的人〗,C. 影响较大,B. 三观一致┋C. 情绪稳定┋I. 兴趣爱好相近,B. 略偏向现实条件,不太认同,不太认同,中立,中立,比较认同,比较认同,中立,中立,比较认同,中立,中立,A. 恋爱、结婚、生育通常是较自然的人生发展路径,C. 说不清，顺其自然,C. 说不清，顺其自然,C. 一般,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋C. 男性婚恋中的经济压力（如购房、彩礼、养家）┋D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题┋F. 托育、育儿成本与教育内卷┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,(空),B. 有一点影响,A. 婚礼、彩礼、购房等经济成本┋E. 职业发展与婚姻责任冲突,A. 生育及育儿经济成本高┋D. 托育、教育资源压力大,(跳过),(跳过),(跳过),(跳过),A. 遇到合适的人┋B. 经济条件更稳定,(跳过),(跳过),(跳过),(跳过),(跳过),A. 经济条件更稳定┋B. 有可靠的伴侣与照料支持┋G. 对养育责任有充分准备,B. 现实条件尚不明确┋E. 担心未来关系和责任压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 生育与养育成本,A. 更倾向结婚和生育,B. 比较担心,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
78,A. 是，我同意继续作答,比较能接受,不太能接受,不太能接受,完全不能接受,完全不能接受,B. 保持亲密，同时保留独立空间,A. 经济成本（婚礼、彩礼、购房等）┋C. 感情变淡或关系不稳定┋E. 伴侣出轨、家庭暴力的可能,B. 愿意进一步商量，但不轻易改变,A. 男,C. 19 岁,A. 大一,D. 工学类,B. 单身，但有恋爱经历,A. 是,A. 婚姻稳定，关系较好,B. 新一线/二线城市,A. 非常支持,A. 很强,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),A. 基本没有影响,A. 性格合拍┋B. 三观一致┋C. 情绪稳定,B. 略偏向现实条件,非常认同,非常认同,非常认同,非常认同,比较认同,比较认同,非常认同,比较认同,非常认同,中立,不太认同,A. 恋爱、结婚、生育通常是较自然的人生发展路径,B. 大概率会有,C. 说不清，顺其自然,C. 一般,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋C. 男性婚恋中的经济压力（如购房、彩礼、养家）┋D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题┋F. 托育、育儿成本与教育内卷┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,(空),A. 几乎没有影响,A. 婚礼、彩礼、购房等经济成本┋C. 家务分工与情感劳动不平等,A. 生育及育儿经济成本高┋B. 生育带来的身体负担与恢复压力,B. 有稳定感情基础┋H. 三观一致┋I. 对未来责任有共识,C. 26—27 岁,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 经济条件更稳定┋B. 有可靠的伴侣与照料支持┋D. 社会支持体系更完善,B. 现实条件尚不明确┋E. 担心未来关系和责任压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
66,A. 是，我同意继续作答,不太能接受,完全不能接受,比较能接受,不太能接受,比较能接受,B. 保持亲密，同时保留独立空间,C. 感情变淡或关系不稳定┋E. 伴侣出轨、家庭暴力的可能┋H. 国内不支持同性婚姻,D. 可能会为了关系妥协,C. 其他/不便透露,B. 18 岁,A. 大一,A. 文史哲类,B. 单身，但有恋爱经历,A. 是,A. 婚姻稳定，关系较好,B. 新一线/二线城市,A. 非常支持,A. 很强,B. 获得情感支持与理解┋E. 身边人都在谈，不想落后,(跳过),D. 影响很大,B. 三观一致┋D. 外貌吸引力┋I. 兴趣爱好相近,D. 略偏向感情契合,中立,中立,不太认同,比较认同,不太认同,非常认同,不太认同,比较认同,比较认同,不太认同,非常不认同,E. 还不确定,C. 说不清，顺其自然,C. 说不清，顺其自然,C. 一般,D. 不婚不育、晚婚晚育相关讨论┋F. 托育、育儿成本与教育内卷┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,(空),B. 有一点影响,G. 暂无明显影响,B. 生育带来的身体负担与恢复压力┋D. 托育、教育资源压力大,(跳过),(跳过),(跳过),(跳过),A. 遇到合适的人┋C. 对婚姻关系更有信心,(跳过),(跳过),(跳过),(跳过),(跳过),A. 经济条件更稳定┋F. 自己身心状态更适合┋G. 对养育责任有充分准备,A. 还没有认真考虑过,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 恋爱关系的不确定性,E. 说不清,(跳过),(跳过),(跳过),(跳过),D. 不太有压力,D. 不太认同,(空)
68,A. 是，我同意继续作答,中立,不太能接受,不太能接受,完全不能接受,不太能接受,B. 保持亲密，同时保留独立空间,C. 感情变淡或关系不稳定┋E. 伴侣出轨、家庭暴力的可能┋F. 与双方家庭相处压力,B. 愿意进一步商量，但不轻易改变,A. 男,C. 19 岁,A. 大一,D. 工学类,C. 恋爱中,A. 是,C. 已离异/分居,B. 新一线/二线城市,B. 比较支持,B. 较强,A. 寻找能够长期发展的伴侣┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,A. 性格合拍┋B. 三观一致┋J. 忠诚专一,E. 明显优先考虑感情契合,比较认同,中立,中立,比较认同,不太认同,比较认同,比较认同,非常认同,比较认同,不太认同,不太认同,C. 可以结婚，但不一定生育,B. 大概率会有,C. 说不清，顺其自然,B. 比较频繁,A. 彩礼与嫁妆争议┋D. 不婚不育、晚婚晚育相关讨论┋F. 托育、育儿成本与教育内卷,(空),B. 有一点影响,B. 离婚率上升或负面婚姻案例┋D. 婚后与双方家庭相处压力,A. 生育及育儿经济成本高┋C. 育儿时间精力投入大,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,B. 24—25 岁,B. 家务劳动┋D. 家庭重大决策┋F. 情绪支持与精神付出,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 有可靠的伴侣与照料支持┋E. 育儿与教育条件更好┋G. 对养育责任有充分准备,D. 对生育更犹豫┋E. 担心未来关系和责任压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
68,A. 是，我同意继续作答,不太能接受,完全不能接受,中立,中立,中立,B. 保持亲密，同时保留独立空间,C. 感情变淡或关系不稳定┋E. 伴侣出轨、家庭暴力的可能,D. 可能会为了关系妥协,A. 男,B. 18 岁,A. 大一,H. 其他,A. 单身，且没有恋爱经历,B. 否,B. 婚姻存在矛盾，但仍维持,C. 三四线城市,B. 比较支持,B. 较强,B. 获得情感支持与理解┋D. 排解孤独感,(跳过),A. 基本没有影响,A. 性格合拍┋I. 兴趣爱好相近┋J. 忠诚专一,C. 两者同样重要,中立,中立,中立,中立,比较认同,中立,比较认同,非常认同,非常认同,中立,中立,A. 恋爱、结婚、生育通常是较自然的人生发展路径,C. 说不清，顺其自然,C. 说不清，顺其自然,D. 较少,F. 托育、育儿成本与教育内卷┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,(空),A. 几乎没有影响,B. 离婚率上升或负面婚姻案例┋E. 职业发展与婚姻责任冲突,B. 生育带来的身体负担与恢复压力┋F. 社会支持体系不够完善,(跳过),(跳过),(跳过),(跳过),A. 遇到合适的人┋C. 对婚姻关系更有信心,(跳过),(跳过),(跳过),(跳过),(跳过),A. 经济条件更稳定┋B. 有可靠的伴侣与照料支持┋G. 对养育责任有充分准备,C. 对婚姻更犹豫┋F. 受社会环境和舆论影响较大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 恋爱关系的不确定性,A. 更倾向结婚和生育,B. 比较担心,A. 非常强,(跳过),(跳过),(跳过),(跳过),(空)
65,A. 是，我同意继续作答,不太能接受,不太能接受,比较能接受,不太能接受,比较能接受,A. 高度陪伴、频繁联系,C. 感情变淡或关系不稳定┋F. 与双方家庭相处压力,D. 可能会为了关系妥协,A. 男,D. 20 岁,A. 大一,D. 工学类,A. 单身，且没有恋爱经历,B. 否,A. 婚姻稳定，关系较好,B. 新一线/二线城市,C. 一般,C. 一般,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,A. 性格合拍┋C. 情绪稳定┋D. 外貌吸引力,D. 略偏向感情契合,中立,中立,不太认同,非常认同,不太认同,中立,中立,比较认同,比较认同,中立,中立,B. 可以恋爱，但不一定结婚,C. 说不清，顺其自然,C. 说不清，顺其自然,C. 一般,I. 我基本没关注过相关话题,(跳过),A. 几乎没有影响,G. 暂无明显影响,C. 育儿时间精力投入大,(跳过),(跳过),(跳过),(跳过),A. 遇到合适的人,(跳过),(跳过),(跳过),(跳过),(跳过),H. 不确定,E. 担心未来关系和责任压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E. 暂时没有明显担心,B. 更倾向结婚但未必生育,C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
81,A. 是，我同意继续作答,完全能接受,不太能接受,比较能接受,不太能接受,中立,A. 高度陪伴、频繁联系,C. 感情变淡或关系不稳定┋F. 与双方家庭相处压力,C. 视双方关系情况再决定,A. 男,B. 18 岁,A. 大一,C. 理学类,A. 单身，且没有恋爱经历,A. 是,A. 婚姻稳定，关系较好,B. 新一线/二线城市,A. 非常支持,B. 较强,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),B. 有一点影响,A. 性格合拍┋B. 三观一致┋I. 兴趣爱好相近,D. 略偏向感情契合,比较认同,比较认同,比较认同,比较认同,比较认同,比较认同,比较认同,非常认同,比较认同,不太认同,不太认同,A. 恋爱、结婚、生育通常是较自然的人生发展路径,A. 明确有,A. 明确有,C. 一般,A. 彩礼与嫁妆争议┋I. 我基本没关注过相关话题,(跳过),B. 有一点影响,F. 网络舆论对婚姻的负面呈现,C. 育儿时间精力投入大┋E. 子女照顾责任可能分配不均,A. 双方足够了解┋B. 有稳定感情基础┋I. 对未来责任有共识,B. 24—25 岁,C. 子女照顾责任┋D. 家庭重大决策┋F. 情绪支持与精神付出,(跳过),(跳过),A. 稳定的感情/婚姻关系┋B. 双方对是否生育有一致意见┋F. 职业发展处于可协调阶段,B. 子女照顾责任失衡,A. 必须,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 一般,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
73,A. 是，我同意继续作答,中立,中立,不太能接受,不太能接受,不太能接受,B. 保持亲密，同时保留独立空间,C. 感情变淡或关系不稳定┋F. 与双方家庭相处压力,C. 视双方关系情况再决定,A. 男,C. 19 岁,A. 大一,D. 工学类,A. 单身，且没有恋爱经历,A. 是,A. 婚姻稳定，关系较好,A. 一线城市,B. 比较支持,B. 较强,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),A. 基本没有影响,A. 性格合拍┋C. 情绪稳定┋I. 兴趣爱好相近,B. 略偏向现实条件,比较认同,比较认同,中立,比较认同,比较认同,比较认同,比较认同,中立,比较认同,中立,中立,A. 恋爱、结婚、生育通常是较自然的人生发展路径,B. 大概率会有,B. 大概率会有,C. 一般,I. 我基本没关注过相关话题,(跳过),B. 有一点影响,A. 婚礼、彩礼、购房等经济成本┋D. 婚后与双方家庭相处压力,A. 生育及育儿经济成本高┋C. 育儿时间精力投入大,B. 有稳定感情基础┋E. 有稳定收入┋G. 双方家庭基本认可,F. 不确定,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,(跳过),(跳过),A. 稳定的感情/婚姻关系┋B. 双方对是否生育有一致意见┋C. 稳定收入或经济基础,A. 经济压力较大┋B. 子女照顾责任失衡,A. 必须,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
67,A. 是，我同意继续作答,比较能接受,完全不能接受,完全不能接受,完全不能接受,中立,B. 保持亲密，同时保留独立空间,A. 经济成本（婚礼、彩礼、购房等）┋C. 感情变淡或关系不稳定┋E. 伴侣出轨、家庭暴力的可能,C. 视双方关系情况再决定,A. 男,C. 19 岁,A. 大一,D. 工学类,A. 单身，且没有恋爱经历,B. 否,A. 婚姻稳定，关系较好,B. 新一线/二线城市,A. 非常支持,B. 较强,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,A. 性格合拍┋B. 三观一致┋J. 忠诚专一,D. 略偏向感情契合,不太认同,不太认同,不太认同,比较认同,不太认同,比较认同,不太认同,非常认同,比较认同,中立,中立,D. 不恋爱、不结婚、不生育也可以是合理选择,B. 大概率会有,B. 大概率会有,B. 比较频繁,A. 彩礼与嫁妆争议┋C. 男性婚恋中的经济压力（如购房、彩礼、养家）┋H. 网络上的“恐婚”“恐育”讨论,(空),C. 影响较大,B. 离婚率上升或负面婚姻案例┋F. 网络舆论对婚姻的负面呈现,A. 生育及育儿经济成本高┋C. 育儿时间精力投入大,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,F. 不确定,B. 家务劳动┋D. 家庭重大决策┋F. 情绪支持与精神付出,(跳过),(跳过),B. 双方对是否生育有一致意见┋C. 稳定收入或经济基础┋F. 职业发展处于可协调阶段,A. 经济压力较大┋E. 缺少稳定支持系统,A. 必须,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
83,A. 是，我同意继续作答,比较能接受,中立,比较能接受,比较能接受,比较能接受,B. 保持亲密，同时保留独立空间,C. 感情变淡或关系不稳定┋E. 伴侣出轨、家庭暴力的可能┋F. 与双方家庭相处压力,B. 愿意进一步商量，但不轻易改变,A. 男,C. 19 岁,A. 大一,B. 经管法类,A. 单身，且没有恋爱经历,A. 是,A. 婚姻稳定，关系较好,A. 一线城市,A. 非常支持,A. 很强,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),A. 基本没有影响,A. 性格合拍┋B. 三观一致┋D. 外貌吸引力,D. 略偏向感情契合,比较认同,比较认同,比较认同,比较认同,比较认同,比较认同,比较认同,比较认同,比较认同,中立,不太认同,D. 不恋爱、不结婚、不生育也可以是合理选择,B. 大概率会有,B. 大概率会有,C. 一般,I. AI伴侣、虚拟恋爱等新技术伦理讨论┋I. 我基本没关注过相关话题,(跳过),B. 有一点影响,C. 家务分工与情感劳动不平等┋D. 婚后与双方家庭相处压力,B. 生育带来的身体负担与恢复压力┋C. 育儿时间精力投入大,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,D. 28—30 岁,C. 子女照顾责任┋D. 家庭重大决策┋F. 情绪支持与精神付出,(跳过),(跳过),A. 稳定的感情/婚姻关系┋B. 双方对是否生育有一致意见┋C. 稳定收入或经济基础,D. 托育与教育资源不足┋E. 缺少稳定支持系统,B. 大多数情况下最好如此,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 一般,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
75,A. 是，我同意继续作答,中立,不太能接受,中立,中立,不太能接受,B. 保持亲密，同时保留独立空间,A. 经济成本（婚礼、彩礼、购房等）┋C. 感情变淡或关系不稳定,B. 愿意进一步商量，但不轻易改变,A. 男,C. 19 岁,A. 大一,D. 工学类,B. 单身，但有恋爱经历,A. 是,B. 婚姻存在矛盾，但仍维持,B. 新一线/二线城市,B. 比较支持,C. 一般,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),C. 影响较大,A. 性格合拍┋C. 情绪稳定┋H. 上进心与责任感,D. 略偏向感情契合,比较认同,比较认同,比较认同,中立,比较认同,比较认同,比较认同,比较认同,比较认同,中立,比较认同,A. 恋爱、结婚、生育通常是较自然的人生发展路径,B. 大概率会有,B. 大概率会有,C. 一般,B. 女性生育成本与职业发展冲突┋D. 不婚不育、晚婚晚育相关讨论┋H. 网络上的“恐婚”“恐育”讨论,(空),B. 有一点影响,D. 婚后与双方家庭相处压力┋E. 职业发展与婚姻责任冲突,A. 生育及育儿经济成本高┋B. 生育带来的身体负担与恢复压力,A. 双方足够了解┋B. 有稳定感情基础┋E. 有稳定收入,F. 不确定,C. 子女照顾责任┋D. 家庭重大决策┋F. 情绪支持与精神付出,(跳过),(跳过),A. 稳定的感情/婚姻关系┋B. 双方对是否生育有一致意见┋C. 稳定收入或经济基础,B. 子女照顾责任失衡┋D. 托育与教育资源不足,B. 大多数情况下最好如此,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
72,A. 是，我同意继续作答,不太能接受,完全不能接受,比较能接受,不太能接受,中立,B. 保持亲密，同时保留独立空间,A. 经济成本（婚礼、彩礼、购房等）┋B. 离婚高代价（离婚冷静期、分割财产、争夺抚养权等）┋E. 伴侣出轨、家庭暴力的可能,B. 愿意进一步商量，但不轻易改变,C. 其他/不便透露,C. 19 岁,A. 大一,C. 理学类,A. 单身，且没有恋爱经历,A. 是,A. 婚姻稳定，关系较好,A. 一线城市,B. 比较支持,C. 一般,A. 寻找能够长期发展的伴侣┋C. 享受恋爱关系本身的体验,(跳过),A. 基本没有影响,B. 三观一致┋C. 情绪稳定┋J. 忠诚专一,D. 略偏向感情契合,比较认同,中立,中立,中立,中立,比较认同,比较认同,比较认同,比较认同,比较认同,中立,A. 恋爱、结婚、生育通常是较自然的人生发展路径,A. 明确有,A. 明确有,D. 较少,D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,(空),B. 有一点影响,A. 婚礼、彩礼、购房等经济成本┋D. 婚后与双方家庭相处压力,A. 生育及育儿经济成本高┋C. 育儿时间精力投入大,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,F. 不确定,A. 收入与经济支配┋C. 子女照顾责任┋F. 情绪支持与精神付出,(跳过),(跳过),A. 稳定的感情/婚姻关系┋C. 稳定收入或经济基础┋D. 有较可靠的照料支持,A. 经济压力较大┋B. 子女照顾责任失衡,A. 必须,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 一般,C. 一般,(空)
68,A. 是，我同意继续作答,不太能接受,完全不能接受,中立,不太能接受,不太能接受,B. 保持亲密，同时保留独立空间,I. 没有特别担心,B. 愿意进一步商量，但不轻易改变,A. 男,C. 19 岁,B. 大二,D. 工学类,A. 单身，且没有恋爱经历,B. 否,A. 婚姻稳定，关系较好,A. 一线城市,A. 非常支持,C. 一般,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,A. 性格合拍┋B. 三观一致┋D. 外貌吸引力,C. 两者同样重要,比较认同,比较认同,中立,比较认同,比较认同,中立,中立,中立,比较认同,中立,中立,A. 恋爱、结婚、生育通常是较自然的人生发展路径,B. 大概率会有,B. 大概率会有,C. 一般,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋D. 不婚不育、晚婚晚育相关讨论,(空),A. 几乎没有影响,G. 暂无明显影响,G. 暂无明显影响,A. 双方足够了解┋G. 双方家庭基本认可┋I. 对未来责任有共识,C. 26—27 岁,B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,(跳过),(跳过),C. 稳定收入或经济基础┋F. 职业发展处于可协调阶段┋H. 对养育责任有充分准备,F. 没有特别顾虑,B. 大多数情况下最好如此,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 一般,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
67,A. 是，我同意继续作答,不太能接受,不太能接受,不太能接受,不太能接受,不太能接受,B. 保持亲密，同时保留独立空间,C. 感情变淡或关系不稳定┋H. 国内不支持同性婚姻,C. 视双方关系情况再决定,A. 男,C. 19 岁,A. 大一,D. 工学类,B. 单身，但有恋爱经历,B. 否,A. 婚姻稳定，关系较好,D. 县城/城镇,B. 比较支持,B. 较强,A. 寻找能够长期发展的伴侣┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,B. 三观一致┋H. 上进心与责任感┋J. 忠诚专一,D. 略偏向感情契合,中立,中立,比较认同,中立,中立,比较认同,比较认同,中立,比较认同,中立,中立,D. 不恋爱、不结婚、不生育也可以是合理选择,C. 说不清，顺其自然,C. 说不清，顺其自然,B. 比较频繁,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋C. 男性婚恋中的经济压力（如购房、彩礼、养家）┋D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题┋F. 托育、育儿成本与教育内卷┋H. 网络上的“恐婚”“恐育”讨论┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,(空),B. 有一点影响,F. 网络舆论对婚姻的负面呈现,F. 社会支持体系不够完善,(跳过),(跳过),(跳过),(跳过),A. 遇到合适的人┋E. 社会环境更友好,(跳过),(跳过),(跳过),(跳过),(跳过),A. 经济条件更稳定┋B. 有可靠的伴侣与照料支持┋D. 社会支持体系更完善,E. 担心未来关系和责任压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 恋爱关系的不确定性,A. 更倾向结婚和生育,C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
